url,desktop_response_time,mobile_response_time,desktop_http_status,mobile_http_status,desktop_title,mobile_title,desktop_description,mobile_description,is_mobile_friendly
https://fampay.in/blog/remote-working-divided-by-distance-united-by-mission/,0.2972733974456787,0.27677083015441895,200,200,"Remote Working: Divided by Distance, United by Mission","Remote Working: Divided by Distance, United by Mission","While the current pandemic has hit us all like a monster truck, we at FamPay always keep our motivation high and continue moving forward. Here is a quick read on what keeps us going!","While the current pandemic has hit us all like a monster truck, we at FamPay always keep our motivation high and continue moving forward. Here is a quick read on what keeps us going!",True
https://fampay.in/blog/tag/growth/,0.295137882232666,0.2863950729370117,200,200,Growth - UnRead by FamPay,Growth - UnRead by FamPay,We are constantly growing our user base to create India's first community of teenagers! Read our blogs to know our growth journey,We are constantly growing our user base to create India's first community of teenagers! Read our blogs to know our growth journey,True
https://fampay.in/blog/getting-your-generations-right-millennials-v-s-genz/,0.3726310729980469,0.32799553871154785,200,200,"Getting your Generations Right, Millennials V/S GenZ!","Getting your Generations Right, Millennials V/S GenZ!",Marketing to a millennial is not the same as marketing to a genz! Surprised? Here are some of the things to keep in mind while at it!,Marketing to a millennial is not the same as marketing to a genz! Surprised? Here are some of the things to keep in mind while at it!,True
https://fampay.in/blog/author/sajal/,0.2553229331970215,0.24386310577392578,200,200,Sajal - UnRead by FamPay,Sajal - UnRead by FamPay,,,True
https://fampay.in/blog/when-building-for-genzs-build-it-on-discord/,0.2677791118621826,0.27355360984802246,200,200,"When building for GenZs, build it on Discord 👾","When building for GenZs, build it on Discord 👾","Aditi, from Growth at FamPay, explains how FamPay creating a piping hot Discord community for GenZs","Aditi, from Growth at FamPay, explains how FamPay creating a piping hot Discord community for GenZs",True
https://fampay.in/blog/author/aditi/,0.23397040367126465,0.2326970100402832,200,200,Aditi Chopra - UnRead by FamPay,Aditi Chopra - UnRead by FamPay,,,True
https://fampay.in/blog/club-teens-one-stop-online-community/,0.33820199966430664,0.2756061553955078,200,200,Club: FamPay's in-app exclusive community!,Club: FamPay's in-app exclusive community!,"Kaavyya, growth intern at FamPay, talks about how FamPay is building, Club - an online in-app community for GenZs!","Kaavyya, growth intern at FamPay, talks about how FamPay is building, Club - an online in-app community for GenZs!",True
https://fampay.in/blog/author/kaavyya/,0.25512075424194336,0.2633676528930664,200,200,Kaavyya Kesarwani - UnRead by FamPay,Kaavyya Kesarwani - UnRead by FamPay,,,True
https://fampay.in/blog/effectively-harnessing-motion-design-for-genzs/,0.28760814666748047,0.29245734214782715,200,200,Effectively harnessing Motion Design for GenZs,Effectively harnessing Motion Design for GenZs,"Hrishi, AV ads expert at FamPay, blogs on how videos can be used to harness motion design for GenZs","Hrishi, AV ads expert at FamPay, blogs on how videos can be used to harness motion design for GenZs",True
https://fampay.in/blog/author/hrishikesh/,0.3037865161895752,0.2530207633972168,200,200,Hrishikesh Kogje - UnRead by FamPay,Hrishikesh Kogje - UnRead by FamPay,,,True
https://fampay.in/blog/writing-content-for-a-content-saturated-generation/,0.3052501678466797,0.2716217041015625,200,200,Writing content for a content-saturated generation,Writing content for a content-saturated generation,"Diya, creative content writer at FamPay, gives her take on how to write content for the content-saturated generation (GenZ)","Diya, creative content writer at FamPay, gives her take on how to write content for the content-saturated generation (GenZ)",True
https://fampay.in/blog/author/diya/,0.2557847499847412,0.2661776542663574,200,200,Diya Kaveramma - UnRead by FamPay,Diya Kaveramma - UnRead by FamPay,,,True
https://fampay.in/blog/how-to-grow-your-instagram-followers-a-quick-guide-for-all-genz-brands/,0.2723686695098877,0.2856457233428955,200,200,How to grow your Instagram followers?🤳 - A quick guide for all GenZ brands!,How to grow your Instagram followers?🤳 - A quick guide for all GenZ brands!,How to grow your Instagram followers?🤳 - A quick guide for all GenZ brands!,How to grow your Instagram followers?🤳 - A quick guide for all GenZ brands!,True
https://fampay.in/blog/author/tanya/,0.2898702621459961,0.2644784450531006,200,200,Tanya - UnRead by FamPay,Tanya - UnRead by FamPay,,,True
https://fampay.in/blog/researching-the-unresearched-genzs/,0.29055166244506836,0.265484094619751,200,200,Researching the Unresearched ⚡,Researching the Unresearched ⚡,"How does a Research team work at FamPay, a neobank for GenZ teens? Find out in this article, by Charvi Saraf","How does a Research team work at FamPay, a neobank for GenZ teens? Find out in this article, by Charvi Saraf",True
https://fampay.in/blog/author/charvi/,0.23139286041259766,0.2566416263580322,200,200,Charvi - UnRead by FamPay,Charvi - UnRead by FamPay,,,True
https://fampay.in/blog/tag/growth/page/2/,0.35753440856933594,0.24575233459472656,200,200,Growth - UnRead by FamPay (Page 2),Growth - UnRead by FamPay (Page 2),,,True
https://fampay.in/blog/tag/lifestyle/,0.3244812488555908,0.3091411590576172,200,200,Lifestyle - UnRead by FamPay,Lifestyle - UnRead by FamPay,"Fashion, food, health, beauty, travel and more! UnRead to live your Fam-life King-size ✨","Fashion, food, health, beauty, travel and more! UnRead to live your Fam-life King-size ✨",True
